sold_at,WAWA1.MM5W,WAWA1.MM4K,WAWA1.MM57,WAWA1.MMFO,WAWA1.MM4S,WAWA1.MMEV,WAWA1.MM9P,WAWA1.MM18J,WAWA1.MM11S,WAWA1.MM13P,WAWA1.MMQY,WAWA1.MMIP,WAWA1.MMFE,WAWA1.MMM9,WAWA1.MM1E3,WAWA1.MMCF,WAWA1.MMIQ,WAWA1.MMDN,WAWA1.MM1VW,WAWA1.MMEJ,WAWA1.MMLP,WAWA1.MM3E,WAWA1.MM12U,WAWA1.MM9R,WAWA1.MM5Z,WAWA1.MMCD,WAWA1.MMNZ,WAWA1.MM12M,WAWA1.MM4C,WAWA1.MMKG,WAWA1.MM17J,WAWA1.MM10X,WAWA1.MM4M,WAWA1.MMZW,WAWA1.MMBH,WAWA1.MM13G,WAWA1.MM18Q,WAWA1.MM13M,WAWA1.MM3F,WAWA1.MMCT,WAWA1.MM4D,WAWA1.MMC9,WAWA1.MMC8,WAWA1.MM12V,WAWA1.MM66,WAWA1.MM4V,WAWA1.MMBE,WAWA1.MM1FJ,WAWA1.MM1OE,WAWA1.MM1BU,WAWA1.MM1GV,WAWA1.MM1H0,WAWA1.MM3H,WAWA1.MM3P,WAWA1.MM3W,WAWA1.MM4F,WAWA1.MM4H,WAWA1.MM4Z,WAWA1.MM5G,WAWA1.MM5J,global_id,type,WAWA1.MM5K,status,WAWA1.MM6Z,WAWA1.MM9I,WAWA1.MM10C,WAWA1.MM10J,WAWA1.MM11R,WAWA1.MM11Y,WAWA1.MM11Z,WAWA1.MM18B,WAWA1.MM19U,WAWA1.MM116,WAWA1.MM167,WAWA1.MMAP,WAWA1.MMAQ,WAWA1.MMB8,WAWA1.MMBD,WAWA1.MMCE,WAWA1.MMD2,WAWA1.MMEC,WAWA1.MMEK,WAWA1.MMFX,WAWA1.MMG9,WAWA1.MMGA,WAWA1.MMHE,WAWA1.MMHP,WAWA1.MMI3,WAWA1.MMJ9,WAWA1.MMJQ,WAWA1.MMK6,WAWA1.MMMH,WAWA1.MMNI,WAWA1.MMQ9,WAWA1.MMVV,WAWA1.MMWE,WAWA1.MMXZ,WAWA1.MMY1,WAWA1.MMZY,WAWA1.MMZZ,WAWA1.MM11W
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,41780.750000000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,21306.30999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,28254.550000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,35180.03000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,28306.65999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,22597.910000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,24507.64999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,24647.68999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,29314.48999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,35579.270000000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190.640000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,40906.83000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10841.089999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,35220.59000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12577.29000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,28963.539999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10929.209999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,29180.73999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9625.230000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,29526.189999999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8722.619999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,29330.419999999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10215.640000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,28609.899999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10943.719999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,39587.880000000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14394.209999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,34507.299999999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880.790000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,28298.76000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10131.329999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,31001.90999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8754.310000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,28164.61000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9048.220000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,27184.65000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10687.950000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,32702.73999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10344.199999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,40003.420000000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13438.829999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,31874.189999999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14212.540000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,25553.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10449.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,27673.619999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9479.46999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,29015.38999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9973.729999999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,28479.829999999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10591.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,28431.749999999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3963.869999999997,,,,,,,,,10436.879999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,36008.62000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19075.769999999997,,,,,,,,,14379.360000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,33742.509999999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19394.37000000001,,,,,,,,,15814.89999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,25787.559999999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18039.619999999974,,,,,,,,,10808.289999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,26744.219999999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18964.14999999996,,,,,,,,,8956.369999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,28166.889999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17419.289999999975,,,,,,,,,8843.320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,27970.17999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17977.229999999956,,,,,,,,,9654.669999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,30222.159999999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20700.460000000003,,,,,,,,,12056.580000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,45044.13000000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32126.210000000054,,,,,,,,,13364.879999999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,35031.27000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23835.130000000026,,,,,,,,,12680.400000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.57,,,
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,24076.25999999999,,,,,,,,,,,,,,,,,,,,,,24355.839999999956,6840.560000000009,,,,,,,,,,17525.669999999955,,,,,,,,,12565.44999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.9600000000003,,,
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,30757.699999999968,,,,,,,,,,,,,,,,,,,,,,31705.47999999994,7136.940000000006,,,,,,,,,,19487.579999999984,,,,,,,,,10950.899999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390.350000000001,,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,29739.84,,,,,,,,,,,,,,,,,,,,,,36541.13000000005,7585.7,,,,,,,,,,20930.210000000017,,,,,,,,,9849.150000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13223.520000000002,,,
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,26841.099999999933,,,,,,,,,,,,,,33024.679999999775,,,,,,,,31924.459999999934,8052.160000000004,,,,,,,,,,18779.849999999984,,,,,,,,,10465.410000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12934.099999999999,,,
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,30718.460000000003,,,,,,,,,,,,,,35718.979999999705,,,,,,,,38156.61999999998,8309.250000000004,,,,,,,,,,23311.350000000006,,,,,,,,,11262.170000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15855.399999999989,,,
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,36286.10999999996,,,,,,,,,,,,,,46240.429999999615,,,,,,,,44210.99999999996,10902.589999999998,,,,,,,,,,29728.750000000025,,,,,,,,,12693.829999999998,,,,,,,,,,,,,,,287.83000000000004,,,,,,,,,,,,,,,19275.600000000002,,597.7,
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,31087.25000000001,,,,,,,,,,,,,,38484.28999999979,,,,,,,,35932.95999999994,7793.690000000002,,,,,,,,,,23139.909999999996,,,,,,,,,14200.540000000006,,,,,,,,,,,,,,,10328.559999999998,,,,,,,,,,,,,,,18189.090000000007,,9334.550000000003,
2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,25338.459999999926,,,,,,,,,,,,,,34997.089999999705,,,,,,,,27881.63999999993,7238.110000000006,,,,,,,,,,19215.639999999963,,,,,,,,,11721.54999999999,,,,,,,,,,,,,,,16013.159999999989,,,,,,,,,,,,,,,16325.509999999984,,15588.880000000006,
2018-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,27297.49,,,,,,,,,,,,,,31288.32999999977,,,,,,,,29401.490000000013,6942.420000000006,,,,,,,,,,16071.129999999966,,,,,,,,,9057.049999999994,5067.600000000004,,,,,,,,,,,,,,16336.629999999981,,,,,,,,,,,,,,,13673.04999999998,,15562.550000000023,
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,27760.119999999963,,,,,,,,,,,,,,30171.659999999785,,,,,,,,28598.529999999977,7085.9400000000005,,,,,,,,,,19879.660000000018,,,,,,,,,9037.500000000005,13361.659999999989,,,,,,,,,,,,,,16057.039999999963,,,,,,,,,,,,,,,13569.259999999991,,16025.73,
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,23460.37999999998,,,,,,,,,,,,,,34987.86999999978,,,,,,,,34469.449999999975,7348.960000000005,,,,,,,,,,20811.070000000007,,,,,,,,,8595.300000000003,17476.139999999956,,,,,,,,,,,,,,15368.779999999992,,,,,,,,,,,,,,,14704.269999999993,,17444.229999999978,
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,28463.38999999999,,,,,,,,,,,,,,34457.81999999979,,,,,,,,33467.39999999994,9598.850000000002,,,,,,,,,,21951.27999999999,,,,,,,,,10876.790000000006,17110.969999999998,,,,,,,,,,,,,,17485.969999999976,,,,,,,,,,,,,,,17009.199999999983,,19021.620000000003,
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,41774.82000000006,,,,,,,,,,,,,,46032.269999999626,,,,,,,,46873.629999999925,12230.670000000002,,,,,,,,,,30661.430000000077,,,,,,,,,12768.519999999986,27603.309999999994,,,,,,,,,,,,,,22937.809999999976,,,,,,,,,,,,,,,21872.989999999987,,23376.71999999993,
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,30278.779999999995,,,,,,,,,,,,,,38447.85999999969,,,,,646.4400000000002,,,36425.26999999992,8967.60000000001,,,,,,,,,,24184.56000000001,,,,,,,,,13451.039999999986,24560.08999999998,,,,,,,,,,,,,,19944.23999999996,,,,,,,,,,,,,,,18839.039999999975,,25059.75999999997,
2018-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,28800.989999999954,,,,,,,,,,,,,,32573.959999999817,,,,,3324.9100000000003,,,31830.05999999995,7471.200000000011,,,,,,,,,,18004.89999999997,,,,,,,,,12326.079999999985,18092.889999999996,,,,,,,,,,,,,,17199.109999999993,,,,,,,,,,,,,,,14455.130000000005,,23339.279999999977,
2018-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,26987.35999999995,,,,,,,,,,,,,,30766.049999999857,,,,,5653.470000000007,,,32674.80999999996,9282.840000000002,,,,,,,,,,25896.390000000043,,,,,,,,,9116.089999999986,20857.84,,,,,,,,,,,,,,17547.289999999986,,,,,,,,,,,,,,,13598.91999999999,,19543.28999999999,
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,32224.32999999993,,,,,,,,,,,,,,28813.579999999856,,,,,6890.0099999999975,,,30640.059999999943,10692.72000000002,,,,,,,,,,26333.30000000004,,,,,,,,,9038.409999999983,20218.049999999985,,,,,,895.32,,,,,,,,17010.669999999995,,,,,,,,,,,,,,,15146.849999999975,,19582.62999999998,
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,45554.92000000009,,,,,,,,,,,,,,34537.95999999979,,,,,8421.750000000007,,,33817.51999999997,8860.920000000006,,,,,,,,,,23223.120000000054,,,,,,,,,8589.670000000002,18603.76999999998,,,,,,12990.030000000002,,,,,,,,17190.99999999999,,,,,,,,,,,,,,,16722.839999999964,,23769.160000000007,
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,43430.7700000001,,,,,,,,,,,,,,35958.809999999794,,,,,7492.050000000002,,,39232.34999999993,9633.570000000003,,,,,,,,,,27000.160000000044,,,,,,,,,10804.0,23136.300000000003,,,,,,20008.540000000037,,,,,,,,20133.399999999972,,,,,,,,,,,,,,,14610.529999999977,,28102.319999999985,
