sold_at,WAWA1.MM5W,WAWA1.MM4K,WAWA1.MM57,WAWA1.MMFO,WAWA1.MM4S,WAWA1.MMEV,WAWA1.MM9P,WAWA1.MM18J,WAWA1.MM11S,WAWA1.MM13P,WAWA1.MMQY,WAWA1.MMIP,WAWA1.MMFE,WAWA1.MMM9,WAWA1.MM1E3,WAWA1.MMCF,WAWA1.MMIQ,WAWA1.MMDN,WAWA1.MM1VW,WAWA1.MMEJ,WAWA1.MMLP,WAWA1.MM3E,WAWA1.MM12U,WAWA1.MM9R,WAWA1.MM5Z,WAWA1.MMCD,WAWA1.MMNZ,WAWA1.MM12M,WAWA1.MM4C,WAWA1.MMKG,WAWA1.MM17J,WAWA1.MM10X,WAWA1.MM4M,WAWA1.MMZW,WAWA1.MMBH,WAWA1.MM13G,WAWA1.MM18Q,WAWA1.MM13M,WAWA1.MM3F,WAWA1.MMCT,WAWA1.MM4D,WAWA1.MMC9,WAWA1.MMC8,WAWA1.MM12V,WAWA1.MM66,WAWA1.MM4V,WAWA1.MMBE,WAWA1.MM1FJ,WAWA1.MM1OE,WAWA1.MM1BU,WAWA1.MM1GV,WAWA1.MM1H0,WAWA1.MM3H,WAWA1.MM3P,WAWA1.MM3W,WAWA1.MM4F,WAWA1.MM4H,WAWA1.MM4Z,WAWA1.MM5G,WAWA1.MM5J,WAWA1.MM5K,WAWA1.MM6Z,WAWA1.MM9I,WAWA1.MM10C,WAWA1.MM10J,WAWA1.MM11R,WAWA1.MM11Y,WAWA1.MM11Z,WAWA1.MM18B,WAWA1.MM19U,WAWA1.MM116,WAWA1.MM167,WAWA1.MMAP,WAWA1.MMAQ,WAWA1.MMB8,WAWA1.MMBD,WAWA1.MMCE,WAWA1.MMD2,WAWA1.MMEC,WAWA1.MMEK,WAWA1.MMFX,WAWA1.MMG9,WAWA1.MMGA,WAWA1.MMHE,WAWA1.MMHP,WAWA1.MMI3,WAWA1.MMJ9,WAWA1.MMJQ,WAWA1.MMK6,WAWA1.MMMH,WAWA1.MMNI,WAWA1.MMQ9,WAWA1.MMVV,WAWA1.MMWE,WAWA1.MMXZ,WAWA1.MMY1,WAWA1.MMZY,WAWA1.MMZZ,WAWA1.MM11W
2018-09-23,9162.919999999998,38965.579999999165,49375.34000000041,52687.35000000129,40369.61999999881,44166.400000000875,44545.9299999993,44557.69000000036,34842.68000000008,53323.35999999968,33716.64000000001,46162.24000000143,46172.52999999977,41372.00000000072,21610.239999999838,37336.559999999576,43020.479999999894,43864.7899999998,37919.89999999985,36873.12000000028,51712.67000000062,28180.52000000032,26293.170000000104,25667.5700000007,36682.16000000008,32041.48999999976,36039.24,12615.519999999862,5472.829999999997,34698.939999999726,40983.08000000012,26116.340000000393,27991.279999999955,30445.400000000292,32120.559999999838,25488.660000000058,30982.00999999998,21525.499999999938,23783.94000000004,35671.6700000003,32519.029999999933,31401.47000000054,27360.170000000242,26261.65000000003,26886.290000000237,19789.249999999964,19246.719999999976,25070.14,38581.04000000003,12746.01999999999,17749.33999999996,12659.129999999996,21095.869999999933,9331.799999999994,13431.49999999999,13072.68999999999,12285.949999999975,20541.519999999986,25386.809999999885,21475.859999999993,35742.42000000019,17576.200000000023,16440.560000000016,9649.410000000002,11504.39000000001,10626.92000000001,19788.999999999964,13578.829999999998,0.0,16589.369999999984,15411.30000000001,29756.469999999666,20314.400000000012,18192.48000000001,13360.140000000012,10834.889999999992,17753.72000000004,19460.460000000043,19821.870000000068,22526.79,16723.180000000008,16938.139999999992,13489.779999999979,13401.200000000017,622.6800000000001,17582.230000000043,17061.30000000001,9437.090000000004,14726.560000000009,15523.050000000028,11160.220000000016,27138.920000000173,15646.539999999954,2676.110000000002,19286.099999999984,15798.369999999957,6973.500000000002,19469.14000000001,14712.06999999998
2018-09-24,8654.22,21897.620000000014,39431.0300000006,31745.209999999697,24074.69999999994,25765.60000000039,25503.07999999988,33677.50000000018,20333.270000000033,36455.580000000045,24899.110000000004,29644.610000000324,28018.189999999886,25397.119999999933,18705.43000000001,23944.799999999905,25193.73999999995,27304.85000000005,19587.089999999997,14963.74000000005,28734.73000000008,16234.860000000032,15809.19000000005,21076.180000000368,25100.70000000011,16960.58000000006,34635.739999999925,7405.120000000019,4225.979999999995,22818.24999999993,25156.71999999997,17542.860000000062,20382.579999999994,22611.88000000015,18450.959999999908,19539.07000000002,19947.149999999914,22818.939999999933,25186.12000000003,16766.5,27456.41999999993,21198.760000000188,17561.5000000001,17139.74999999994,14154.170000000055,23712.40999999996,18683.91999999997,15240.67,41819.829999999965,18185.92999999998,15146.03999999995,13007.679999999995,11735.049999999985,9283.339999999993,11884.789999999959,13070.389999999981,14943.640000000036,20850.849999999984,4353.069999999995,24758.250000000025,16070.04999999992,18269.460000000036,17307.600000000002,10408.160000000009,11823.030000000008,10445.970000000005,19753.399999999998,14721.489999999982,0.0,16190.909999999996,15097.800000000001,15540.399999999958,20284.17,17482.669999999987,15718.310000000018,11127.489999999989,18020.250000000004,11765.530000000048,15536.55000000003,22532.559999999987,19799.449999999997,17425.81999999997,12070.460000000003,12737.970000000003,293.94000000000005,8003.949999999976,17626.840000000007,10326.309999999994,12190.369999999995,16743.520000000008,11956.040000000008,18243.269999999906,15256.439999999962,2603.0600000000004,19986.859999999975,14568.35999999999,6616.630000000002,21494.58000000003,15115.859999999995
2018-09-25,9502.079999999998,16231.88000000005,19613.990000000085,11911.409999999945,14766.620000000099,21978.750000000113,9875.140000000018,17907.039999999874,8135.4399999999905,19529.98000000012,9640.469999999996,11666.939999999979,9773.840000000015,10584.280000000013,9628.44000000003,10561.380000000012,9301.740000000005,10995.010000000015,8882.140000000018,6253.819999999992,15693.399999999985,7743.76999999999,12922.170000000011,8227.529999999982,12104.210000000045,7698.31999999999,31375.30999999999,2837.9400000000114,4707.709999999996,8720.879999999992,10407.499999999976,6554.999999999965,11485.460000000001,13042.73000000004,8875.079999999984,6054.140000000012,7135.219999999995,22193.569999999927,22928.809999999994,5567.8699999999935,38297.49999999993,8500.43999999998,4166.81,8713.530000000033,5251.099999999988,19903.029999999962,10316.529999999993,4471.849999999997,37688.989999999925,16859.459999999977,15649.799999999943,13008.04999999999,3943.809999999997,8902.380000000006,4119.289999999994,11077.629999999996,6238.879999999998,17755.839999999997,3502.5499999999965,22087.389999999978,8662.390000000003,17544.520000000022,17655.51000000001,10756.050000000017,13544.80999999999,12052.530000000008,20410.019999999964,14712.949999999984,0.0,17071.219999999998,16004.630000000005,5425.490000000012,23870.199999999953,16838.19000000001,14929.48999999999,21545.69000000005,20564.640000000036,6915.230000000007,5311.8199999999915,21719.860000000008,17136.050000000003,18137.299999999934,13045.529999999964,10733.8,325.9,3424.4100000000017,14864.070000000009,10333.769999999993,12999.409999999983,14649.170000000038,11249.970000000012,5311.729999999997,15258.779999999972,2753.9900000000002,20443.6,14947.57999999999,7201.000000000013,20945.68999999999,14665.960000000001
2018-09-26,8197.499999999998,19029.289999999986,18639.070000000153,11536.459999999935,9410.460000000063,15244.270000000073,8684.210000000012,12061.979999999947,5139.299999999992,8436.19,6742.459999999999,6880.429999999989,8283.800000000005,6093.88,7969.810000000001,6944.110000000017,4839.6500000000015,7603.540000000012,6269.370000000019,5781.619999999987,7097.350000000002,4193.790000000014,14350.920000000031,6107.529999999979,6402.9599999999855,3797.7299999999955,36431.519999999975,2959.790000000014,5004.139999999997,4919.730000000007,4768.249999999994,3694.9899999999984,7737.510000000029,7318.849999999993,3755.680000000003,2554.0900000000006,2189.0799999999986,22008.599999999904,25709.379999999994,2293.3199999999993,35668.04999999988,3421.500000000002,2981.100000000002,6077.750000000007,2724.959999999998,22539.769999999986,4796.800000000005,1035.8799999999999,46560.029999999955,11614.239999999989,18449.449999999862,14180.710000000008,1474.8099999999997,10620.919999999995,1531.96,11889.48999999999,1984.4300000000012,19973.139999999956,1510.01,24611.79000000004,2620.159999999999,18519.05000000003,20931.280000000017,9971.670000000007,12983.180000000006,12931.200000000004,23471.599999999984,14612.639999999998,0.0,18140.150000000012,18012.970000000005,2598.4300000000053,23749.459999999985,21465.070000000007,15743.479999999994,13108.18999999998,24395.180000000084,3915.770000000007,2795.329999999999,22446.460000000014,17996.88,18086.789999999954,13919.169999999987,13655.510000000004,894.8100000000002,703.3600000000001,19188.14999999998,10706.989999999987,13210.119999999997,16748.340000000033,13090.370000000003,1807.33,14271.489999999965,2264.8800000000006,21239.569999999985,16210.969999999963,6117.1500000000015,19793.65000000001,14259.390000000005
2018-09-27,16620.620000000003,24789.91999999988,19263.65000000014,15518.70999999992,11958.210000000117,16834.46000000011,11443.050000000003,14217.76999999993,6715.929999999992,12469.26000000003,8637.779999999992,9880.620000000003,10148.760000000013,7367.880000000001,9549.800000000023,7232.780000000028,6376.650000000007,9469.320000000003,9050.960000000052,8520.559999999967,8634.169999999982,6842.400000000003,18238.360000000048,7235.629999999974,7294.230000000002,4527.3099999999995,47268.97000000012,1513.490000000003,6329.829999999987,4824.740000000001,7071.559999999999,4743.28999999999,10200.700000000017,9081.1,4283.170000000001,2806.8400000000006,5256.719999999995,33056.439999999864,31485.680000000022,2802.149999999999,50574.649999999725,4407.7199999999975,3826.910000000003,9134.38000000002,4259.169999999996,41980.41999999982,6104.859999999982,2633.0899999999965,67653.36000000003,18809.459999999985,20811.39999999998,29037.70999999997,1283.62,14797.77999999998,1943.6699999999985,15596.329999999987,2796.54,29199.409999999978,1542.62,36241.98000000019,3572.0799999999945,27372.300000000097,24191.520000000026,14127.520000000024,17110.860000000004,17079.000000000004,31680.209999999955,21587.589999999997,0.0,29283.07000000011,22268.709999999995,5039.68000000001,33689.440000000024,25221.010000000013,24371.790000000008,13650.419999999991,28467.57000000018,6208.570000000009,3927.759999999995,30195.070000000014,23211.61999999996,26753.6299999999,17443.899999999932,18123.53999999996,565.1500000000001,641.4600000000004,24839.710000000057,13250.650000000014,20831.679999999935,24426.000000000065,17421.630000000026,2287.059999999999,24374.819999999974,3058.750000000002,33300.509999999915,23472.979999999934,8795.890000000003,31440.610000000048,22154.37000000002
2018-09-28,11783.859999999986,24555.30999999996,20636.060000000118,15446.599999999924,12667.350000000073,23015.690000000202,11644.730000000005,16108.719999999907,6235.739999999991,13620.650000000032,8525.499999999987,10339.839999999997,11570.920000000013,8351.420000000004,11349.71000000006,8404.820000000022,6187.639999999999,8805.109999999997,7609.910000000033,9675.239999999978,9756.739999999972,6733.0799999999945,18349.45999999997,7956.159999999972,8561.579999999984,4884.490000000008,38293.949999999975,0.0,4728.259999999994,6754.549999999997,6146.399999999996,4508.789999999996,11215.46000000004,8455.550000000016,5322.410000000001,2777.5400000000013,4053.66,25858.459999999886,25550.820000000112,3315.3599999999974,42807.51000000005,4572.529999999999,3851.1600000000053,11547.420000000002,4938.889999999992,24405.579999999874,4333.140000000005,1966.4299999999994,48725.99000000003,14497.919999999956,16405.999999999985,12781.21,2243.8299999999986,14548.229999999967,2380.939999999997,12780.379999999994,3453.5900000000015,24844.960000000003,1801.65,29721.41000000006,3790.9299999999957,23836.970000000092,22538.290000000045,10124.959999999992,13898.860000000004,18865.209999999985,24451.22999999996,15349.459999999983,0.0,20846.690000000028,18565.940000000006,5078.040000000011,28130.90000000001,40143.75999999999,19761.16000000004,22117.320000000058,21693.450000000077,5753.200000000005,3149.809999999999,26297.870000000006,20366.450000000008,19831.309999999943,15687.979999999981,17295.70000000002,792.7700000000001,842.8500000000001,19373.46000000002,11997.05000000001,13869.549999999992,19265.550000000032,15711.110000000015,3070.129999999997,17350.75999999997,2878.0200000000023,26421.88000000001,19891.879999999957,6416.780000000004,25762.11000000003,18048.840000000004
2018-09-29,8542.769999999993,19119.81000000004,16472.600000000028,11614.439999999968,9367.770000000062,17456.880000000132,9376.330000000022,12610.069999999969,5335.829999999997,9759.500000000013,5781.2299999999905,7596.720000000005,9031.33,6737.510000000006,7542.240000000005,5732.550000000008,6909.84,7075.789999999989,5628.540000000027,7014.979999999995,8921.859999999995,4064.2400000000116,14044.65000000001,5944.9399999999805,5866.669999999988,4002.820000000006,32195.75999999997,580.1099999999998,4329.999999999996,5492.28,4424.649999999997,3939.339999999995,6552.360000000021,6955.150000000002,4167.06,2053.7800000000007,2359.5799999999995,24163.239999999892,21357.439999999966,2287.6599999999994,4213.659999999999,3121.489999999998,2703.7100000000014,7957.980000000001,2802.9199999999987,21634.68999999996,4067.7500000000036,2081.779999999998,22941.029999999995,7161.699999999993,18121.83999999994,14195.880000000003,1758.8600000000001,10382.909999999993,2006.6899999999998,11964.099999999997,1882.05,18520.91,1254.1700000000003,25680.95999999999,2130.31,11696.70000000001,10876.300000000028,9045.920000000011,13765.890000000012,13298.019999999997,18977.539999999975,12966.039999999979,0.0,15959.200000000033,18750.580000000013,2984.3800000000097,22273.86000000002,11159.499999999989,17756.08,10444.47000000001,23891.99000000013,4428.360000000004,2667.4499999999966,21503.839999999997,22323.170000000002,19104.189999999966,13253.819999999998,11766.479999999998,394.24,869.38,14986.620000000017,10515.019999999997,9916.820000000002,15692.830000000018,13175.28000000002,1671.2799999999995,16299.249999999962,2362.4199999999996,18606.88999999999,16241.279999999972,4930.060000000005,19664.97,16717.299999999996
2018-09-30,10327.879999999992,16864.840000000004,20697.330000000202,12885.619999999932,13830.870000000079,15135.520000000095,8103.210000000018,14215.319999999954,6535.569999999998,8266.050000000005,6623.080000000001,5623.359999999991,7154.830000000009,5687.059999999997,8340.090000000006,7325.830000000016,4617.439999999997,7272.360000000002,6838.3300000000145,5553.759999999989,6692.109999999997,5021.120000000008,12496.110000000013,5271.299999999975,5198.389999999996,4783.930000000007,36367.29999999993,1204.9600000000016,5990.4899999999925,5294.880000000001,4199.3,4196.569999999998,8020.310000000026,6571.030000000014,3796.8799999999983,2322.3800000000015,2205.9999999999977,30863.569999999858,26241.969999999983,2417.339999999999,37525.45999999991,3892.469999999995,3872.880000000005,8220.710000000012,3451.8799999999997,23784.56999999994,5610.229999999996,2367.229999999999,47347.120000000024,26249.959999999955,17572.819999999978,13478.049999999983,1406.05,10881.999999999985,1631.9499999999991,12048.409999999996,1408.2000000000005,24170.170000000002,1008.0100000000001,28185.160000000044,2839.379999999999,20358.460000000046,17174.630000000005,12223.970000000032,13481.40000000003,13564.539999999988,22253.069999999996,18566.609999999982,0.0,17093.99,17477.88000000001,3470.9800000000123,23912.589999999982,20327.260000000002,15547.269999999997,13619.890000000001,19918.88000000003,4335.250000000011,3163.7699999999954,24452.60000000001,16795.87,19328.549999999985,12026.369999999999,14154.690000000017,456.40000000000003,610.8500000000001,18228.009999999995,10892.910000000007,18176.94999999998,18342.27000000003,14163.409999999994,2258.6199999999985,17887.159999999974,2446.9800000000005,21610.420000000016,16912.999999999975,6487.179999999999,19851.570000000025,16361.359999999975
2018-10-01,9052.859999999997,19781.430000000004,20851.90000000018,11110.729999999945,9678.760000000058,14913.700000000026,8177.890000000023,12630.239999999987,5907.200000000008,8464.320000000007,6966.529999999974,6067.319999999999,8465.230000000005,5529.390000000004,7971.50000000001,7427.810000000007,5540.460000000003,7478.730000000005,6129.4000000000215,5628.239999999993,5504.4,5304.399999999996,15823.219999999981,5583.1799999999785,5547.539999999998,3575.479999999997,34049.759999999944,1584.2800000000034,4905.409999999994,4489.940000000003,4065.209999999999,4160.519999999996,7102.830000000017,5958.839999999998,3353.0699999999974,2904.259999999997,4180.139999999991,23975.619999999955,26327.160000000003,2900.070000000001,29375.60999999988,3382.8899999999976,3487.0900000000015,8803.320000000014,3161.9500000000016,21394.57999999995,5748.779999999995,1857.1399999999976,41941.589999999895,12617.35999999998,14043.59999999996,12524.189999999999,1417.3399999999988,10424.729999999983,1843.5799999999997,12090.600000000002,2131.340000000003,19839.16,1188.7700000000002,22185.56999999999,2736.6800000000026,17477.060000000023,18808.629999999994,9918.030000000004,12419.210000000008,12393.700000000012,20345.299999999977,11907.04,0.0,17502.010000000002,15968.489999999982,3339.210000000008,23750.900000000045,17471.95999999999,16226.42000000001,10328.93999999999,16949.27,4193.920000000007,2331.1500000000015,23227.510000000002,19150.44,17647.780000000013,12575.079999999974,13575.66,365.44,638.07,19108.999999999985,11255.119999999997,13559.430000000006,15558.140000000021,13941.230000000016,2228.799999999998,16401.80999999996,2996.270000000001,20327.62999999997,17254.879999999986,7879.890000000005,18074.679999999997,15850.549999999977
2018-10-02,11506.970000000012,18033.969999999983,19671.54000000007,12155.249999999942,11572.720000000058,19370.010000000115,7628.240000000011,12548.899999999983,5412.900000000002,10207.840000000002,7333.600000000001,7428.030000000018,8695.700000000019,5986.809999999996,11166.130000000041,8174.16000000001,4907.299999999989,6337.719999999994,6560.390000000015,6505.699999999989,7076.899999999997,5914.859999999997,15600.339999999991,5837.019999999989,5805.900000000005,4517.449999999998,37936.35000000009,1615.2900000000018,4226.569999999998,4718.0800000000045,6442.689999999994,6035.709999999983,8642.410000000013,7613.18,5688.679999999998,2669.3699999999963,3304.2799999999957,24177.129999999855,23712.560000000027,2737.8900000000003,31863.27999999983,4104.929999999996,3603.5399999999995,7872.160000000018,2864.73,25876.889999999887,6011.879999999994,1573.8800000000003,44885.97999999994,12282.159999999998,15710.519999999951,11975.349999999991,1669.9699999999998,10072.690000000008,1785.349999999999,13544.850000000026,2336.199999999999,21285.489999999998,1090.8700000000001,25806.620000000094,3143.639999999999,20887.920000000064,20154.390000000007,11702.530000000013,13853.859999999993,13996.110000000019,20936.46000000002,16733.89,0.0,24969.050000000057,16881.200000000004,4367.97000000001,32444.770000000033,17643.899999999994,17749.549999999963,22791.980000000076,22076.960000000097,3934.739999999999,4298.33,21746.630000000026,17063.279999999973,19200.03999999998,14711.33999999999,12765.01000000001,407.33000000000004,1553.0799999999992,18456.239999999994,10436.250000000005,17994.42999999998,19145.400000000016,12215.890000000007,2319.58,15270.789999999979,2913.060000000001,22421.46999999999,16456.919999999976,8358.020000000002,26145.259999999947,15933.449999999995
2018-10-03,8536.299999999996,18246.999999999985,18272.38000000005,11502.599999999948,10885.300000000032,16500.520000000102,9112.690000000019,13481.979999999983,4861.410000000001,10254.970000000028,6997.999999999998,8064.459999999999,7529.040000000013,6122.240000000001,9567.330000000027,7333.320000000008,4976.869999999997,9007.889999999998,6674.140000000012,7134.479999999987,7248.820000000001,4781.110000000002,12797.030000000013,5279.149999999981,7046.069999999993,4897.779999999993,38783.610000000044,1818.9500000000037,5696.219999999988,4909.780000000002,6522.2199999999975,4500.929999999995,7367.6200000000235,6898.830000000007,4370.469999999999,2613.090000000003,2493.839999999998,26051.069999999894,26013.340000000004,3405.069999999998,32400.979999999905,2792.5099999999998,2734.0900000000033,7493.790000000011,2126.470000000002,26040.35999999987,5642.00999999999,2440.059999999998,46133.72999999993,11911.399999999989,21043.26999999986,14076.770000000008,1699.4299999999996,11570.649999999987,2480.2399999999993,11561.06,1831.4600000000005,22009.389999999996,985.6399999999995,27834.210000000054,2731.0599999999977,20267.96000000003,19436.50999999997,10634.250000000016,12030.030000000002,12873.43000000003,22105.919999999947,14534.519999999991,0.0,20389.090000000022,16613.499999999985,4301.710000000006,27352.330000000005,19737.290000000005,18053.47000000002,12461.730000000012,23731.18000000011,4484.270000000009,3166.8299999999927,23551.480000000018,19699.08999999998,18905.459999999974,12505.429999999982,12148.839999999998,1309.9,975.5099999999999,18913.969999999994,11404.119999999997,16900.76999999998,15887.070000000025,13944.870000000023,2323.0699999999974,16204.559999999978,2797.2000000000016,24655.849999999984,16291.329999999974,7040.359999999999,21354.720000000027,15557.64
2018-10-04,13580.420000000022,25108.370000000017,19103.010000000068,14085.819999999918,12629.71000000006,20395.800000000214,10476.900000000007,18375.129999999917,7844.570000000006,11649.420000000006,7916.769999999997,9339.48000000002,11159.37,7176.1399999999985,11157.810000000056,9715.080000000042,5946.810000000001,8376.490000000009,7962.770000000036,9508.469999999985,8334.220000000001,5519.439999999996,19082.8,6801.819999999964,7173.229999999995,5274.819999999995,48107.68000000013,2152.780000000005,7126.800000000003,6643.959999999994,6408.679999999998,5477.599999999996,9764.980000000032,7850.2,4722.260000000002,3360.45,4925.129999999997,34536.12999999983,30798.010000000104,3492.7399999999993,45720.42999999979,4884.929999999992,3530.050000000002,10898.839999999997,2894.1299999999983,38555.62999999988,5896.449999999983,2001.1899999999994,66509.65000000004,19550.989999999965,22431.139999999963,19298.630000000005,1455.239999999999,16562.02999999997,1656.4199999999998,15612.469999999994,2936.9600000000014,32671.42999999996,1204.04,38201.42000000009,3085.5899999999956,29173.260000000104,26786.07,14024.320000000009,15269.720000000003,17935.269999999997,28731.219999999987,21241.37999999998,0.0,27657.790000000077,20350.68000000002,5194.680000000009,36588.00999999993,26297.649999999998,29100.30999999998,15123.500000000016,29145.860000000146,5434.070000000004,3647.069999999996,35525.30999999997,25487.32999999998,26712.589999999913,19519.979999999967,17873.529999999995,949.0200000000001,1036.03,27192.59000000002,14413.010000000004,23525.34999999993,23475.00000000005,16524.900000000023,2178.55,24984.03999999992,3792.0400000000004,33415.649999999994,21619.23999999996,9566.490000000005,29718.210000000014,22595.990000000016
2018-10-05,11209.31,26390.690000000006,23207.38000000019,15348.879999999928,12423.480000000092,19631.830000000165,12173.44000000001,14658.06999999996,6936.419999999991,12242.180000000022,8392.069999999992,9999.510000000018,13059.07000000001,7709.5899999999965,11589.94000000005,8188.2200000000275,6681.53,10226.90999999999,8122.490000000036,10174.110000000004,10799.439999999999,5472.659999999999,20909.849999999984,7546.919999999981,7452.700000000011,5063.080000000002,41502.8500000001,2106.3800000000074,6535.810000000008,7078.669999999996,6003.939999999999,4885.89999999999,8631.140000000021,8806.930000000006,4263.250000000006,3092.730000000001,4410.179999999998,28381.86999999987,27530.120000000068,3997.1599999999985,38901.24000000007,4312.419999999994,4113.839999999998,11127.640000000001,3667.5099999999993,25926.619999999875,5175.850000000004,2507.250000000001,46809.999999999956,13382.419999999987,18007.89999999995,25900.770000000015,1905.159999999998,11594.199999999984,3575.879999999996,14016.04,3067.0900000000056,24228.71000000002,1891.7899999999988,28671.47000000004,3507.909999999997,22745.540000000055,21427.230000000007,12720.31,13650.160000000007,17687.37000000002,25446.349999999966,16964.869999999988,0.0,22877.160000000025,19140.12000000001,5316.88000000001,27411.03999999996,37852.65000000001,22643.660000000014,22996.870000000068,19806.880000000026,4806.710000000005,4246.889999999998,23408.380000000005,21232.83999999999,22883.529999999926,15474.489999999993,14837.210000000005,651.9200000000001,1510.9100000000005,19075.809999999998,12831.470000000008,16404.019999999964,21128.64000000004,13373.189999999999,2398.579999999998,17614.599999999977,2930.9499999999994,27296.35999999998,20131.460000000006,6764.810000000002,25708.80999999999,18521.679999999993
2018-10-06,8287.929999999998,17550.11000000003,18541.090000000113,12344.029999999942,9712.730000000056,14796.310000000072,8566.450000000004,11042.849999999988,4877.609999999999,12340.440000000004,6386.009999999985,6441.900000000005,8653.040000000012,6669.570000000003,8074.890000000005,6966.350000000016,5950.890000000009,7194.109999999983,5919.000000000022,7187.1799999999885,7986.5299999999925,4441.920000000003,13652.030000000002,5734.2099999999755,5186.250000000003,4596.880000000004,30252.049999999992,1938.900000000003,4730.849999999996,5621.310000000002,4695.83,4592.13999999999,7105.200000000018,5765.3399999999965,3719.7800000000043,1732.2900000000006,2816.909999999998,23209.04999999985,20793.76,2326.1899999999982,30350.419999999944,3044.8399999999947,2545.2299999999996,7953.679999999999,2744.3600000000024,23490.229999999974,3754.6200000000013,1814.6999999999985,38928.119999999944,11443.939999999993,18139.109999999964,14470.000000000042,1262.3999999999999,9463.080000000002,2067.939999999999,10798.279999999986,1835.5199999999993,19197.609999999982,1093.3200000000004,21476.180000000022,2724.299999999998,18736.590000000044,15415.960000000028,8924.300000000017,11657.660000000018,16092.869999999979,19291.17999999999,13299.589999999995,0.0,18564.72000000003,16618.189999999995,3677.9500000000116,25978.000000000033,15277.269999999993,15891.130000000003,12216.480000000001,24740.95000000012,4029.66,2486.819999999998,20717.070000000007,20657.699999999975,17735.24999999998,13730.489999999958,12477.719999999996,316.59000000000003,1167.38,14628.82000000002,10884.45000000001,12834.949999999972,16624.33000000003,10777.520000000013,1825.2899999999995,16601.789999999983,1941.6499999999996,18212.270000000008,15852.189999999977,6210.2400000000025,21771.18000000001,17567.35000000001
2018-10-07,9323.250000000002,13735.490000000029,21197.270000000226,10879.999999999944,8585.580000000054,13978.189999999997,8244.650000000014,10711.150000000001,4870.689999999987,8285.360000000017,5831.250000000001,6517.769999999997,7038.92000000001,5673.850000000002,7320.810000000013,5733.8500000000195,3505.1499999999974,6931.200000000003,5712.350000000018,6844.689999999987,7460.539999999988,4256.600000000009,11519.960000000006,4208.639999999996,4505.749999999995,3516.589999999996,31496.419999999922,1281.0100000000027,4377.439999999995,4520.730000000003,4671.299999999997,3860.0099999999943,6913.060000000025,4589.850000000005,3690.53,1625.1899999999998,3211.3499999999935,20490.64999999992,22930.610000000004,2221.6499999999996,28604.849999999846,3184.2299999999996,2582.880000000001,6734.2,2173.8900000000017,18181.499999999996,3883.3800000000037,1746.7299999999987,34303.64999999999,10695.300000000003,14271.379999999985,11151.779999999997,1297.8300000000002,9211.419999999998,1305.2499999999993,10625.96000000001,1446.6300000000017,18227.059999999972,1176.9600000000003,18542.54999999997,3268.5399999999986,16292.34000000002,15156.860000000004,8606.16000000001,10941.620000000026,9918.11,17148.870000000014,14269.549999999987,0.0,14787.289999999997,14994.819999999992,2582.3500000000045,19315.63999999999,18306.3,14951.49999999999,11728.189999999993,17547.920000000016,3678.8300000000067,2507.14,21001.42000000002,18561.38,17217.419999999962,11282.370000000003,11884.600000000015,852.7899999999998,671.43,14871.810000000007,9528.139999999996,12282.269999999973,14793.070000000016,10947.430000000002,1975.0700000000004,16355.959999999961,2080.359999999999,19826.10999999998,14326.489999999989,5836.36,16563.10000000001,14432.599999999995
2018-10-08,7324.030000000003,17521.82999999996,20843.420000000184,11424.089999999955,8689.500000000062,12899.33000000006,7727.940000000015,12035.749999999973,5266.75,7907.080000000007,5119.0699999999915,6569.519999999993,8550.759999999998,6763.280000000004,7309.819999999999,6324.660000000009,5674.8600000000015,6297.360000000002,6652.2000000000135,5161.259999999991,5465.28,4336.840000000009,13271.03,5584.439999999988,4575.099999999997,2687.209999999999,33717.12999999997,1666.5000000000032,4902.669999999992,4133.4600000000055,4107.4,3009.339999999996,7085.38000000002,5215.340000000003,2694.2599999999998,2354.290000000002,4352.87999999999,22879.49999999991,23498.14,2566.940000000001,27367.129999999965,2769.0400000000022,3033.1799999999985,7068.440000000017,2557.8899999999967,21693.52999999997,4125.259999999997,1221.9399999999996,54772.54999999987,11176.919999999978,16844.76999999997,10939.360000000002,1451.4400000000003,10604.88999999998,1750.2899999999995,12013.320000000014,1541.420000000001,19002.62,810.1700000000002,21812.420000000013,5976.529999999989,17589.520000000033,16528.38999999998,9617.67000000003,11635.30000000002,10478.090000000006,19441.00999999997,13830.239999999998,0.0,16195.540000000003,14486.22000000001,2698.5300000000057,21333.419999999976,18298.770000000004,16122.90999999999,10627.269999999991,17143.649999999994,4145.780000000001,2350.299999999998,23843.209999999995,16740.019999999997,18123.75999999993,12435.72999999998,11680.049999999996,379.51,525.78,17905.949999999975,10587.97999999999,15029.349999999979,14967.39000000001,12408.070000000009,1634.4000000000012,16628.76999999998,1772.9700000000007,21406.429999999964,13901.54999999999,7317.729999999996,16582.44000000004,16686.120000000017
